"","M121_Smoke","M191_Smoke","M205_Smoke","M207_Smoke","M443_Smoke","M447_Smoke","F195_Smoke","F197_Smoke","F201_Smoke","F202_Smoke","F444_Smoke","F445_Smoke","M141_Control","M187_Control","M307_Control","M386_Control","M421_Control","F181_Control","F301_Control","F381_Control","F427_Control"
"Mir466n",1.73892549659786,1.36581132639558,1.34807430240319,1.60846822414926,1.5657503701678,1.69848724043842,2.64455949099904,1.60194724502459,2.65973250315249,3.12758832138319,2.6252345442023,3.30086787903457,1.41905575581428,1.60775536565134,1.46654019016123,1.8046618814745,1.26782182969346,2.12130152819641,2.82061781416225,2.78758419341858,1.90505658762953
"Kdm5d",5.1090207387043,5.39008406898854,5.0779496488649,5.24833207556666,4.86937119951509,4.56135662173481,1.28362611611729,1.36196842371029,1.0724511610344,1.1748461112656,1.03662697381711,1.01018460364379,4.98767823542521,5.50304586172816,4.95929890862332,4.96725762064387,4.96919143385127,1.42031453584644,1.3108721269205,1.30947359805525,1.00708398981077
"Xist",3.03287722780283,3.06134219939139,3.42474297210083,2.17868762358317,2.04220549111697,2.20993069672465,9.54881499303958,9.44623971901587,9.6636650118851,9.67492209766522,9.60357438929195,9.48384274212318,2.82987009201993,2.4996639887084,2.57697165290607,2.35248617409723,2.22140023768731,9.66685857815854,9.52326696938884,9.68428689266563,9.5878014766356
"Kdm6a",6.04458236832636,5.91602394357903,5.87808734144704,6.08948667807094,5.82296778562595,5.70729825052488,6.40038829449444,6.65953885368782,6.44191651598718,6.42866625203147,6.30383661564338,6.46639597173612,6.01783782113487,6.15903081468171,5.9854680042224,5.79212513236097,5.60612400747601,6.36357486160342,6.63117458478065,6.23268612592805,6.47328302435393
"Uty",3.65610925141305,4.41545599740618,3.91447207581064,3.52993524237882,4.27091541060877,4.38999043697661,1.0990108346306,1.52418915470693,1.30460599097178,1.4761212186185,1.34910203347871,1.40931813240673,4.27709715821659,4.3225017041408,4.01325168620545,4.32299232528848,4.16181711165863,1.24719360126583,1.49254918521069,1.35252444910064,1.26807108749426
"Ddx3y",5.11214927185466,5.18307973904428,5.30570232214104,5.44539452651041,4.54855632182586,4.80246458293944,1.73528836193518,1.40783778438902,1.69424765245264,1.54613240363197,1.56091048248573,2.10239097940382,5.35790566737361,5.41058426422126,5.07775806880645,4.86590520348287,5.05316750158384,0.986848635064519,1.54878879198763,1.24268232995598,1.45637557653342
"Eif2s3y",4.43433669795514,5.18216001635002,4.13490241528164,4.00861289204577,4.6228230094288,3.3918952057014,2.22915388923067,1.43272449224746,1.70085403969612,1.70793673511147,1.95229871571208,1.61495192197476,4.4728972716878,4.33837630136962,5.19877812804434,4.02708968514632,4.85348393930742,1.61417811979883,1.74300768210489,1.61248371220617,1.54654402646036
"Vmn2r58",2.99244087128929,2.58272746453748,2.37327945277751,3.04039149242995,2.58201731010465,3.16857991628066,3.10968073816578,3.58539533880227,3.5959171190059,3.92279017044979,3.24565387631892,3.89811016753002,2.6922966296024,2.52510427214754,3.0926975009851,2.76309062773942,2.87119206271154,3.58206635604521,3.75855711884612,3.68164422385604,3.38460437539819
