"","M121_Smoke","M191_Smoke","M205_Smoke","M207_Smoke","M443_Smoke","M447_Smoke","F195_Smoke","F197_Smoke","F201_Smoke","F202_Smoke","F444_Smoke","F445_Smoke","M141_Control","M187_Control","M307_Control","M386_Control","M421_Control","F181_Control","F301_Control","F381_Control","F427_Control"
"17526659",4.42960647519609,4.67412265895685,4.32327707614978,4.82485315291035,4.61626031806686,4.48115784738067,4.70856885431179,4.32916673525259,4.76834867727433,4.59431300527787,5.16355622183931,4.9099793703697,4.70856885431179,5.10789894365319,4.23842840179397,4.82224516129547,4.66572726939839,4.90620409869484,4.30153694461665,5.08989983243915,4.70856885431179
"17277965",2.40200495727977,1.76826673577819,1.72863096678626,2.18793106483111,2.43018844704692,2.22829128417174,2.00851554299602,1.96554274636633,2.05169687563834,2.29418486459345,2.27699022171864,1.93792145631729,2.14623455477021,1.73237695118014,2.05169687563834,2.09062323470718,2.05169687563834,2.36301097407302,1.68290343479144,1.92961663647228,1.83613476208065
"17433934",2.55146141197879,2.19911931712916,3.05927567042626,2.29096296303816,2.38875479699657,2.55704364216627,2.55704364216627,2.7872147463248,3.05946976355776,2.94407199675333,2.55704364216627,2.64187962568834,2.91972384984364,2.30825549521481,2.72497759347598,2.38379948815665,2.80959563183793,2.4973111206299,2.54549704569905,2.57486093288083,2.27197025599398
"17288269",1.80502529724984,2.15199134959586,2.34636031933958,2.49193991032008,2.18484079558426,1.78175080167841,1.75686304200275,1.49789716944567,1.85043464585363,1.65530546949303,1.60659963937193,1.85043464585363,1.94151045689258,1.43753315704408,1.80131590089492,2.42700158821578,2.03842925214806,1.85043464585363,1.60165674736361,2.26661646127398,1.81182976707025
"17526127",2.55526735418764,3.45371898566966,2.75326118619205,2.52181138063256,2.66450492953476,2.79514227145724,2.43319019275039,2.61347693767027,2.55786685215139,2.22769184070918,2.39537787721342,2.41051208576129,3.753327947824,2.96766486661711,3.16412375298992,2.84420320465735,2.24082415785102,3.04957060922557,3.08032446660924,2.53890889970688,1.96631497283302
"17543438",1.26434791895682,1.72893661814624,1.86088164379131,1.45027346407226,1.60821725539253,2.07558073093853,1.70379677970745,1.53655184469453,1.48980556416727,1.28443426728015,2.36077994162313,2.13110692925436,1.45580217276935,1.49116931754559,1.44419851001239,1.63726075917861,1.70616808335134,2.30292225557804,1.47803412517932,1.92589444194095,1.53485054364147
"17310316",4.13098297507621,4.80284057748942,4.32743539232373,4.19957212668819,5.21070508677772,4.5210849030356,4.72992699218692,4.2065421717706,4.56573184072168,4.13737844056685,4.58308587168283,4.71702409923939,4.7739950194477,4.39809414399913,4.74261006488398,4.39755095927973,4.42334713471413,4.78955712600157,4.39761598727255,4.65859392569507,4.47475741396747
"17326834",2.7773886088793,3.33769122733919,2.86994966063065,2.73612783058197,2.58939094861058,2.26949911979349,2.71105142161207,2.7762524900071,3.0665902764015,2.68346649374647,2.98743483157227,3.03203336556293,2.45690773241112,3.28842903209921,2.13451951745261,2.90004920644916,2.31946960113918,2.91564336692216,2.3354883668013,3.39213805949457,2.71885983107697
"17318422",1.75920190801055,1.60308403039103,1.48351674698928,1.55195299726267,1.78843883385772,1.92649608829497,1.75920190801055,2.02335587359293,2.08178393724969,2.30848483604098,1.59382627431764,2.01842320999635,1.99351000943563,1.49472815277964,1.92914934617305,1.66121774524285,1.37483317567938,1.65452146713297,1.75920190801055,1.51812773329739,1.87354619093822
"17421153",2.76105971225276,1.97417771943154,2.20271615248482,1.72956377109992,1.88986301967944,1.97384338551963,2.39719976411328,2.88995084346796,2.0007808049369,1.79716483636289,2.21617382365138,2.42696494944057,2.27851014581712,1.91531132775225,2.03221646489248,1.90927237829809,2.1609482116183,1.8222933543422,2.31456783690015,2.09569433151949,1.92797339995985
"17383672",1.76648436643827,1.22572059845797,1.21211117542551,1.49233033363279,2.04125577796401,1.92097068147634,1.37967777530736,1.41110729753229,1.25335669740196,1.42549329318023,1.38061595225696,2.09496226938914,1.6180298303573,1.30598065897659,1.23712129540802,2.04765701800368,1.95462943356455,1.53773968223659,1.30598065897659,1.65934740037922,1.53272589452889
"17381511",4.19920427505241,4.6399609035807,4.82043453015205,4.72426068224231,4.62511290298739,3.99453733805211,4.66434655730683,4.81282633249738,5.02508164639518,4.55941820984982,4.94687703119457,4.71835305928104,4.55846564916162,5.3180185002103,5.17550151969569,4.72701576993977,4.39730857480641,4.93008984689793,4.59431300527787,5.19699214402485,4.61355122701061
"17348069",4.39282280509159,4.60551916949395,4.51073354322515,4.33315609392898,4.4529235111617,4.31516375993651,5.02627196876539,4.27319000184403,4.69502903862168,4.11853206166482,4.35350270728848,4.23120792218937,3.27476466067098,3.93583228486231,4.29272293793119,4.2641584464271,4.34096016702957,3.72381747684537,3.79073634006273,3.64143065524678,3.7160907486023
"17530915",2.91004219488095,2.77880472416112,2.68519182022385,3.29162501348171,3.0124230857733,3.08660120407623,3.19117720691091,3.25921087055103,2.78187447127744,3.0124230857733,3.13425661163143,2.324136492024,3.72792012059118,3.63767881852628,2.95809641473247,2.92600371260149,3.0124230857733,3.13685259665954,2.72724584387166,3.23209922304093,3.00069150232312
"17300181",4.41159037310558,0.929898502524042,0.743360700455251,0.869056342150951,1.2068611084974,1.74938723500469,1.01680934477014,0.986067192396968,0.829795611386854,1.08974547540446,0.734055482921533,0.813697617280522,0.861092329896934,1.30594904701364,1.08169797303833,1.10729506105713,0.918633863969931,0.829509055338008,1.03754199516051,1.36284586583064,1.73702908824765
"17330162",1.25881330669297,1.31888414108144,1.51051498957507,2.37706995269919,1.72260278010191,1.32478922608848,1.32854404312678,1.44813449544774,1.24873152651661,1.60484736680962,1.20196423801721,1.2910192830932,1.59155033315074,1.43729837289283,1.22253754477235,1.14017636708759,1.76781366236029,1.63337702748904,1.63826190653181,2.20076577500042,1.23266474591279
"17434023",2.85645321158226,2.55498622619195,2.42632646635328,2.79164788718954,2.73002877418275,3.33755154856946,2.56347284851405,2.48714159843659,1.79214401536622,2.5259587633334,3.41051878263343,3.06945735602351,3.48336069223065,3.53223994868273,3.0728867043376,2.39436997119283,2.37217680724297,3.32918999452427,2.86417529474255,2.8164189688843,2.87465104194439
"17446458",1.64753038154033,2.35536411279451,2.16565992602411,1.76042650129571,1.99482424327089,1.79792018829757,1.88116965180274,2.27550171067773,1.75500798495299,1.69430466159116,2.04776405462943,1.48243413680641,1.5350976704487,1.9348243187578,1.37719362252835,1.41181664687882,1.5721501779038,1.66624407674919,1.67033822486841,2.19638293320399,1.59180215928788
"17277666",2.70840350414701,1.63832500489111,2.17010537147476,3.16793641844054,2.62452213470628,3.07787848194455,2.6916155496237,3.27730663590034,2.54251849330067,2.18219043620731,2.25711937785921,2.75206548471503,3.08373849145251,2.34331068119141,2.5800000956975,2.52263599099414,2.20437205670495,2.34915806857477,2.53334240631305,2.76172140979138,2.60603721661468
"17404993",1.69524650050114,1.85793463029697,1.81805772354579,2.90357199859675,2.16087716204576,1.81337932273647,2.30718040667315,3.40125158168674,1.63173458523896,2.29733850469748,2.0549055915172,1.48659631188197,2.25538186199983,1.83763236904586,2.60593558829053,2.97313143370912,2.11224146657035,2.28532924530154,1.91170695631221,2.26194335927235,1.98671661397976
"17446490",0.985324330549742,1.54548606625709,1.07714274086083,1.25866689401701,1.10575064709595,1.14982229406731,1.24154315942477,1.40165743162207,1.13986195829774,1.54379582159529,1.45544703400204,1.13447515280694,1.26367005832125,1.52244362573303,1.21879695253852,0.888095499070136,1.57270241609074,1.6499880315737,1.2348172485344,1.64684880803557,1.29441159109742
